1:57	ふぉるす	いえーい！
1:58	うめにゃ	いや、これ行けないぞ
1:58	灰色熊	マルス構文かな？
1:58	アキパン	草
1:58	ケンフー	どんだけやったんだよ
1:59	sho ma	草
1:59	yuyu sasa	配信してもろて
2:00	ポテトジャム	1900まで行ったのか
2:00	魂暁/こあ	草
2:01	黎明卿新しきボンドルド	計算できてえらい
2:01	Metallic	
2:01	松井、	草
2:01	うにあ	一人で200いけるか？？
2:02	ああ	4
2:03	ふくざわゆきち	明日で終わりそう
2:03	ワタル	よるみ置いてけぼりでkすあ
2:04	ぐだのすけ	草
2:04	てぃれもん	草
2:05	えあえあ	こんれーなー
2:05	はいどれ	草
2:05	kbf kbf	プラチナいってて草
2:06	アズキ8	プラチナもう行ってるのか
2:06	カービィ	草
2:06	プリッツトッポ	草
2:08	83ヘチマ	モレルぶっ殺す！
2:08	ちょこび	ヒルマおるやん
2:08	taketo RONA	草
2:08	たべっちかにっち	草
2:10	ガリレオ	草
2:10	洛水佑馬	草
2:10	えびリンプ	草
2:11	ちなまる	草
2:11	yuyu sasa	草
2:11	ちゅう	ヤーハー
2:12	クレシアン	おはプラチナ
2:12	碓氷ドラグライド	
2:12	Kris	物騒ですな
2:12	とおのマン	ひでぇ
2:13	ととろろろ	草
2:13	村田ネギ	最低ｗ
2:13	稲羽	
2:13	かおう_____ta	草
2:13	PEACE YOU	草
2:13	てぃれもん	
2:13	うにあ	ｗｗ
2:13	Yuuki	草
2:14	タカホ	アイシールド21懐かしい
2:14	黎明卿新しきボンドルド	最低だw
2:15	ないむん	ホントだプラチナいってるｗ
2:15	ろろ	ひどｗ
2:15	みなと	ひでえｗ
2:15	Rei_ S2	草
2:16	kihara0001	毎ゲーム
2:16	牛タン将軍	草
2:16	accelアクセル	草
2:16	街	こんプラチナ
2:16	カービィ	ひどいｗ
2:16	白の落書き	うーんこのクズ
2:16	アカうぃん	草
2:16	もんぬサマー	畜生かな？
2:17	Luore / ルオレ	草
2:17	佐藤太郎	
2:17	プリッツトッポ	最低で草
2:17	しゃけねこ	草
2:17	かわ3	自己中すぎ
2:18	ねこさん1号	草
2:18	zale	最低で草
2:18	めんとす	勝手に寝るの草
2:18	けんばく	草
2:19	ひがしのそら	草
2:19	テルユウ	草
2:21	ハイメガキャノン	草
2:21	_ chami	ひでえ
2:21	ダックスフント	草
2:21	ネムイ	草
2:21	うにあ	ひでえｗ
2:22	まあライオン	自由過ぎる
2:22	babu	草
2:23	あかるる	ごめねむ
2:23	イープカ	おはくず～
2:23	sakutaro	くずがよぉ
2:23	ターニングポイント	
2:23	Gリスナー	クズｗ
2:23	てらま	草
2:24	ゆなちゃん	20回チャンピョン取ったら行けるな！
2:24	ヲリヲン	草
2:24	ぐだのすけ	
2:26	ふぉるす	プラチナになっとるｗ
2:27	むぎま	草
2:27	Cymbals21	ひでえ
2:27	こしあん	付き合い悪くて草
2:28	archer	草
2:30	Ei NAGOMI	流石だなぁ
2:30	Otnpo zamurai	クズやんけ
2:31	オクラトラ	さすクズ
2:31	ポテトジャム	マルス理論いて草
2:32	謝謝茄子	ひどい
2:33	まつまえ	
2:33	ネムイ	ひどすぎるｗ
2:36	長沢雄一	
2:37	健忘症	健気かな
2:37	can-toku CANトク	甘やかされてる
2:37	ぐだのすけ	草
2:39	しーぷどっぐ	根っからの姫プ体質
2:39	ガリレオ	大和撫子やな
2:39	ながねぎ	こいつほんま…
2:39	TSU CCHI	
2:39	ととろろろ	よるみは沼った時に手伝ってくれたのに
2:40	うにあ	ｗｗ
2:40	かんぱち	まあ先プラチナが外れるのは有りではあるか？
2:42	kamitama	これは
2:43	ちなまる	
2:43	ターニングポイント	
2:43	めんとす	えらいよぉ
2:45	たべっちかにっち	草
2:45	DKYM	えらくはないんだよなあ
2:46	けんばく	草
2:46	るたろー	草
2:47	松井、	草
2:47	クレシアン	草
2:48	kbf kbf	？？？
2:48	yuyu sasa	草
2:48	透	リーダ
2:48	atsuyoshi	まぁソロのほうが上がりやすいからねえ
2:48	洛水佑馬	
2:48	こしあん	したたか？
2:49	イープカ	遅れて
2:49	うにあ	
2:49	ケンフー	何言ってんだ
2:52	カービィ	？？
2:53	みなと	したいか？
2:54	うりす	そういやかなかなんとこでプレイ中になっとったなｗ
2:56	あかるる	ずぶとい
2:57	Rei_ S2	草
2:57	なだきょう	草
2:57	村田ネギ	嫁かあ
2:57	A00	
2:58	?!	草
2:58	Kris	あやまれ
2:58	松井、	告白！？
2:58	アカうぃん	草
2:58	タカホ	やまとなでしこ
2:58	ちなまる	草
2:59	zale	嫁にしたいは語弊がある
2:59	やたろう	草
3:00	kbf kbf	チャイカは俺の嫁
3:00	やねうら	草
3:00	ねこさん1号	？？？
3:00	zみるぺん	草
3:01	ひがしのそら	草
3:01	けんばく	なにいってんだｗ
3:01	ロ一ツェ	草
